0,0
0,1
0,2
0,3
0,5
0,14
0,15
0,16
0,17
0,18
0,19
0,20
1,1
1,2
1,3
1,4
1,5
1,8
1,15
1,17
1,18
1,19
1,20
2,1
2,2
2,4
2,14
2,15
2,16
2,17
2,18
2,19
2,20
3,1
3,2
3,3
3,4
3,5
3,14
3,15
3,17
3,18
3,19
4,2
4,7
4,8
4,14
4,17
4,20
5,0
5,2
5,3
5,5
5,6
5,15
5,16
5,18
6,1
6,2
6,3
6,4
6,5
6,14
6,15
6,17
6,18
6,19
6,20
7,1
7,2
7,3
7,4
7,5
7,14
7,15
7,16
7,17
7,18
7,19
7,20
8,0
8,6
9,0
9,1
9,6
9,7
9,9
9,16
9,18
10,1
10,2
10,3
10,4
10,5
10,14
10,15
10,16
10,17
10,18
10,19
11,0
11,1
11,2
11,7
11,9
11,14
12,0
12,1
12,2
12,6
12,14
13,1
13,2
13,3
13,4
13,5
13,14
13,15
13,16
13,17
13,18
13,19
13,20
14,0
14,6
15,0
15,1
15,2
15,3
15,5
15,14
15,15
15,16
15,18
15,19
16,0
16,3
16,5
16,6
16,15
16,16
16,18
17,1
17,3
17,4
17,5
17,15
17,17
17,18
17,19
17,20
18,1
18,2
18,3
18,4
18,5
18,15
18,17
18,18
18,19
18,20
