    0.8000    1.0000    3.0000    9.0000
    0.9000    1.0000    5.0000    9.0000
    1.0000         0    1.0000    9.0000
    1.1000         0    4.0000    8.0000
    1.2000    1.0000    3.0000    4.0000


    1.8000    8.0000    8.0000   10.0000
    1.9000    5.0000    8.0000   10.0000
    2.0000    4.0000    8.0000    9.0000
    2.1000    8.0000   10.0000   10.0000
    2.2000    4.0000    9.0000   10.0000


    2.8000    9.0000    9.0000   10.0000
    2.9000    4.0000    8.0000   10.0000
    3.0000    4.0000    8.0000    9.0000
    3.1000    6.0000    8.0000   10.0000
    3.2000    4.0000    9.0000   10.0000

	
    3.8000   10.0000   10.0000   10.0000
    3.9000    9.0000   10.0000   10.0000
    4.0000    9.0000    9.0000   10.0000
    4.1000    9.0000   10.0000   10.0000
    4.2000    9.0000    9.0000   10.0000
