.8 	 7     7     9     9
.9     8     4     9     9
1       7     7     9     9
1.1     8     7    10     8
1.2     5     5     9     9

1.8     9     5    10    10
1.9     9     5    10    10
2       9     9    10    10
2.1    10     9    10    10
2.2     9     9    10    10

2.8	 	10     9    10    10
2.9     9     9    10    10
3       9     9    10    10
3.1     9     9    10    10
3.2    10     9    10    10

3.8		10     9    10    10
3.9    10    10    10    10
4       9     9    10    10
4.1    10    10    10    10
4.2    10    10    10    10
