0.74727,208.3,0.65138,4.8057,0.48256,457.63,0.33483,4.8586,0.22513,9.1526,0.43579,611.97,0.10975,9.2587,0.26044,4.8575,0.34454,2.3056
0.68418,1.0357,0.62811,1.303,0.44601,1.9313,0.29393,4.2628,0.46497,2.8338,0.44782,324.46,0.097923,5.7372,0.22633,5.427,0.3991,8.5
0.77476,50.203,0.66977,4.3514,0.33313,2.5468,0.25118,1.0432,0.36607,5.6328,0.33502,1611.6,0.091668,3.2745,0.22822,3.0739,0.32715,3.9468
0.64353,4.2047,0.40129,2.0551,0.34224,1159.3,0.33743,19.703,0.45332,2.4573,0.40341,2.1505,0.11188,38.556,0.25062,20.177,0.32941,9.0833
0.6654,15.987,0.44206,7.8392,0.46241,1107.6,0.2949,17.613,0.46825,11.273,0.45403,7.7662,0.10055,23.965,0.23377,22.703,0.41718,35.412
0.48875,7.45,0.49739,0.91415,0.45133,1.1158,0.27579,3.8853,0.36559,24.116,0.39048,3.1829,0.094122,13.175,0.24072,12.37,0.32679,16.113
0.50938,26.915,0.5584,11.662,0.42838,892.9,0.33716,79.76,0.46626,9.482,0.42366,7.956,0.10956,157.08,0.24937,81.662,0.33075,36.222
0.64249,109.69,0.59887,2.2507,0.38693,3.8697,0.2934,71.819,0.4713,45.249,0.4686,32.766,0.10397,97.232,0.23307,92.534,0.42369,144.23
0.63377,456.92,0.59615,8.0875,0.56524,1.4969,0.28346,15.179,0.36699,99.476,0.43254,11.972,0.097999,53.23,0.24082,50.05,0.33504,63.833
0.72815,5.2002,0.53076,2.8371,0.74416,365.46,0.33736,321.05,0.46764,38.063,0.42893,31.551,0.10932,634.93,0.24689,329.16,0.33321,143.28
0.72683,20.137,0.56718,10.281,0.55498,1.9547,0.29143,291.7,0.47081,181.84,0.47086,135.93,0.10472,391.83,0.23214,375.21,0.42769,584.3
0.73049,75.132,0.81852,0.96993,0.66984,1.649,0.28665,60.456,0.36768,403.14,0.43291,48.734,0.098429,212.9,0.24104,200.05,0.33089,257.54
0.7376,3.153,0.8452,3.397,0.45383,479.64,0.33729,1289,0.46908,152.59,0.43003,124.96,0.10896,2552.6,0.24698,1320.5,0.33185,575.37
0.76497,11.961,0.71945,1.1028,0.5341,2.4313,0.2921,1170.3,0.47093,727.33,0.47191,553.98,0.105,1573,0.23159,1509.3,0.42884,2355.1
0.85898,2.7394,0.74658,4.3298,0.51356,1.9443,0.28754,241.36,0.36812,1622.7,0.43123,194.25,0.099047,850.68,0.24158,800.51,0.33164,1028.3
0.87672,9.9374,0.66101,1.0645,0.53599,609.89,0.4344,161.16,0.46874,611.54,0.42958,497.66,0.048309,6.7098,0.13866,3.2491,0.20986,1.2722
0.82343,46.394,0.70075,4.2559,0.57192,2.1199,0.47378,98.814,0.38808,1.2248,0.47111,2238.8,0.13868,3.7717,0.36707,3.6755,0.33256,7.2861
0.82264,2.4636,0.74737,1.3558,0.46698,2.1317,0.39816,41.796,0.42656,3.9335,0.47397,1.1973,0.035173,1.5788,0.13565,1.477,0.27858,4.6806
0.84319,9.4181,0.77286,4.725,0.40691,482.88,0.43423,646.21,0.41155,3.0707,0.53381,3.9359,0.048373,27.392,0.14379,12.541,0.23641,4.4361
0.75666,3.0636,0.68627,1.36,0.59621,4.7981,0.47385,395.39,0.41714,4.3752,0.50288,1.7076,0.15035,15.044,0.37123,14.571,0.33807,30.536
