2.624,3.2565,3.8873,2.6637,3.1147,3.6791,2.7864,2.9722,3.343
3.82,4.5795,5.23,3.8668,4.4076,5.0362,3.9765,4.2615,4.6644
5.1441,5.9256,6.5507,5.1807,5.7539,6.378,5.2456,5.5656,6.0108
6.4778,7.2293,7.8499,6.4923,7.0667,7.679,6.5419,6.8103,7.2698
7.7554,8.4914,9.0198,7.7258,8.2973,8.8532,7.7086,7.9764,8.3593
2.7975,2.3986,2.5789,2.8742,2.6704,2.8685,3.0652,2.9669,2.9781
4.0476,3.6105,3.895,4.1322,3.9715,4.1796,4.2941,4.2309,4.2723
5.3655,4.935,5.2527,5.4558,5.301,5.5187,5.599,5.5424,5.6105
6.7041,6.2842,6.6064,6.7759,6.6016,6.8493,6.836,6.7627,6.8698
7.9434,7.5916,7.8597,7.9692,7.8255,8.0621,7.965,7.9195,8.0056
3.3001,3.33,3.2043,3.3931,3.4228,3.4263,3.5667,3.6192,3.6829
4.5844,4.6071,4.5503,4.6664,4.748,4.7768,4.8536,4.9282,5.0076
5.8895,5.9206,5.8866,5.9589,6.0486,6.0931,6.112,6.1906,6.2691
7.15,7.168,7.1799,7.1736,7.3015,7.3301,7.2479,7.349,7.4637
8.3085,8.3334,8.4089,8.2385,8.4459,8.5236,8.2799,8.3454,8.4953
2.6598,3.104,3.6784,2.6934,3.0017,3.4874,2.8047,2.912,3.178
3.8698,4.4154,5.0335,3.9108,4.2905,4.8323,4.0058,4.1772,4.4863
5.1816,5.7568,6.3808,5.2135,5.6195,6.174,5.2428,5.4558,5.8119
6.5057,7.0699,7.6829,6.5162,6.9242,7.4509,6.5031,6.7113,7.0496
7.7305,8.3034,8.8457,7.6898,8.1164,8.5922,7.6029,7.7784,8.0977
2.8613,2.624,2.8834,2.9401,2.8754,2.817,3.1189,3.107,3.116
4.1044,3.8971,4.2137,4.1959,4.1689,4.1157,4.3884,4.4058,4.4068
5.4352,5.2243,5.5389,5.5168,5.4856,5.4547,5.6143,5.6799,5.6823
6.7519,6.5687,6.8569,6.7918,6.76,6.7512,6.8413,6.8568,6.872
7.9719,7.7748,8.0415,7.9378,7.8306,7.969,7.8756,7.9094,7.9528
3.3933,3.4409,3.394,3.459,3.5442,3.5347,3.6252,3.6665,3.7427
4.672,4.7592,4.7483,4.7386,4.8263,4.8533,4.891,4.9379,5.0228
5.9464,6.0697,6.0644,5.9922,6.088,6.1328,6.0885,6.1832,6.2681
7.1704,7.2961,7.3172,7.1258,7.3178,7.3711,7.2054,7.2821,7.396
8.2763,8.4554,8.4969,8.2111,8.4013,8.5028,8.0645,8.1766,8.2695
