2.624	3.2565	3.8873	2.6637	3.1147	3.6791	2.7864	2.9722	3.343	0.75144	0.59248	0.41184	0.73693	0.62423	0.46748	0.69344	0.64335	0.53722
3.82	4.5795	5.23	3.8668	4.4076	5.0362	3.9765	4.2615	4.6644	0.58969	0.39538	0.24677	0.57588	0.42825	0.28638	0.53086	0.45019	0.34426
5.1441	5.9256	6.5507	5.1807	5.7539	6.378	5.2456	5.5656	6.0108	0.40375	0.2349	0.13994	0.39439	0.25922	0.16037	0.3603	0.27843	0.19853
6.4778	7.2293	7.8499	6.4923	7.0667	7.679	6.5419	6.8103	7.2698	0.24428	0.13147	0.076968	0.23697	0.14456	0.086552	0.21707	0.15759	0.10791
7.7554	8.4914	9.0198	7.7258	8.2973	8.8532	7.7086	7.9764	8.3593	0.1356	0.070797	0.042804	0.13183	0.078042	0.046376	0.12018	0.083598	0.057109
2.7975	2.3986	2.5789	2.8742	2.6704	2.8685	3.0652	2.9669	2.9781	0.73443	0.71806	0.63016	0.71393	0.68418	0.61105	0.65562	0.64194	0.60747
4.0476	3.6105	3.895	4.1322	3.9715	4.1796	4.2941	4.2309	4.2723	0.56505	0.54222	0.43332	0.54139	0.49361	0.41017	0.48152	0.44866	0.40771
5.3655	4.935	5.2527	5.4558	5.301	5.5187	5.599	5.5424	5.6105	0.38042	0.35215	0.26337	0.36233	0.31179	0.24438	0.31261	0.27826	0.24246
6.7041	6.2842	6.6064	6.7759	6.6016	6.8493	6.836	6.7627	6.8698	0.23011	0.20571	0.14703	0.21529	0.17758	0.13492	0.18416	0.15806	0.13291
7.9434	7.5916	7.8597	7.9692	7.8255	8.0621	7.965	7.9195	8.0056	0.12643	0.1121	0.078355	0.12026	0.095242	0.070937	0.10072	0.084742	0.069206
3.3001	3.33	3.2043	3.3931	3.4228	3.4263	3.5667	3.6192	3.6829	0.67572	0.60774	0.54384	0.65424	0.59216	0.52424	0.59495	0.55249	0.49869
4.5844	4.6071	4.5503	4.6664	4.748	4.7768	4.8536	4.9282	5.0076	0.49361	0.42602	0.35423	0.47506	0.40834	0.34088	0.41556	0.36871	0.31917
5.8895	5.9206	5.8866	5.9589	6.0486	6.0931	6.112	6.1906	6.2691	0.33057	0.27063	0.21348	0.3169	0.2558	0.20351	0.27055	0.22908	0.18762
7.15	7.168	7.1799	7.1736	7.3015	7.3301	7.2479	7.349	7.4637	0.20908	0.15834	0.12148	0.201	0.15235	0.11283	0.17012	0.13378	0.10833
8.3085	8.3334	8.4089	8.2385	8.4459	8.5236	8.2799	8.3454	8.4953	0.12818	0.089951	0.066149	0.12625	0.09116	0.062237	0.10771	0.07994	0.062238
