2.624,3.82,5.1441,6.4778,7.7554,3.2565,4.5795,5.9256,7.2293,8.4914,3.8873,5.23,6.5507,7.8499,9.0198
2.7975,4.0476,5.3655,6.7041,7.9434,2.3986,3.6105,4.935,6.2842,7.5916,2.5789,3.895,5.2527,6.6064,7.8597
3.3001,4.5844,5.8895,7.15,8.3085,3.33,4.6071,5.9206,7.168,8.3334,3.2043,4.5503,5.8866,7.1799,8.4089
2.6598,3.8698,5.1816,6.5057,7.7305,3.104,4.4154,5.7568,7.0699,8.3034,3.6784,5.0335,6.3808,7.6829,8.8457
2.8613,4.1044,5.4352,6.7519,7.9719,2.624,3.8971,5.2243,6.5687,7.7748,2.8834,4.2137,5.5389,6.8569,8.0415
3.3933,4.672,5.9464,7.1704,8.2763,3.4409,4.7592,6.0697,7.2961,8.4554,3.394,4.7483,6.0644,7.3172,8.4969
2.7548,3.9919,5.2862,6.5521,7.724,2.9618,4.256,5.5818,6.8264,7.9832,3.3414,4.6708,5.9933,7.2902,8.3691
3.0482,4.3225,5.583,6.8195,7.9386,3.0172,4.3114,5.6143,6.8176,7.9627,2.9902,4.3129,5.6454,6.9221,8.115
3.5844,4.861,6.0797,7.2323,8.1952,3.654,4.9158,6.1852,7.3471,8.344,3.6816,4.9708,6.2246,7.4279,8.4517
2.6637,3.8668,5.1807,6.4923,7.7258,3.1147,4.4076,5.7539,7.0667,8.2973,3.6791,5.0362,6.378,7.679,8.8532
2.8742,4.1322,5.4558,6.7759,7.9692,2.6704,3.9715,5.301,6.6016,7.8255,2.8685,4.1796,5.5187,6.8493,8.0621
3.3931,4.6664,5.9589,7.1736,8.2385,3.4228,4.748,6.0486,7.3015,8.4459,3.4263,4.7768,6.0931,7.3301,8.5236
2.6934,3.9108,5.2135,6.5162,7.6898,3.0017,4.2905,5.6195,6.9242,8.1164,3.4874,4.8323,6.174,7.4509,8.5922
2.9401,4.1959,5.5168,6.7918,7.9378,2.8754,4.1689,5.4856,6.76,7.8306,2.817,4.1157,5.4547,6.7512,7.969
3.459,4.7386,5.9922,7.1258,8.2111,3.5442,4.8263,6.088,7.3178,8.4013,3.5347,4.8533,6.1328,7.3711,8.5028
2.7865,4.0022,5.2763,6.5143,7.6095,2.9175,4.2037,5.497,6.7137,7.8176,3.1776,4.4892,5.8114,7.0678,8.0875
3.0962,4.3727,5.6466,6.7835,7.9116,3.103,4.3975,5.6612,6.8476,7.9475,3.2005,4.4902,5.7726,6.8716,7.9765
3.6145,4.8871,6.0767,7.1805,8.02,3.6678,4.9354,6.159,7.2565,8.0643,3.7568,5.0458,6.2566,7.3911,8.2182
2.7864,3.9765,5.2456,6.5419,7.7086,2.9722,4.2615,5.5656,6.8103,7.9764,3.343,4.6644,6.0108,7.2698,8.3593
3.0652,4.2941,5.599,6.836,7.965,2.9669,4.2309,5.5424,6.7627,7.9195,2.9781,4.2723,5.6105,6.8698,8.0056
3.5667,4.8536,6.112,7.2479,8.2799,3.6192,4.9282,6.1906,7.349,8.3454,3.6829,5.0076,6.2691,7.4637,8.4953
2.8047,4.0058,5.2428,6.5031,7.6029,2.912,4.1772,5.4558,6.7113,7.7784,3.178,4.4863,5.8119,7.0496,8.0977
3.1189,4.3884,5.6143,6.8413,7.8756,3.107,4.4058,5.6799,6.8568,7.9094,3.116,4.4068,5.6823,6.872,7.9528
3.6252,4.891,6.0885,7.2054,8.0645,3.6665,4.9379,6.1832,7.2821,8.1766,3.7427,5.0228,6.2681,7.396,8.2695
2.8342,4.0086,5.2604,6.4401,7.346,2.8757,4.0859,5.3607,6.5295,7.4257,2.9876,4.2579,5.5379,6.7045,7.6164
3.2084,4.4501,5.6456,6.76,7.6951,3.2344,4.4789,5.6814,6.8051,7.7331,3.3344,4.5719,5.8264,6.9314,7.8238
3.7134,4.9496,6.0785,6.9971,7.6475,3.7244,4.9531,6.1091,7.09,7.6986,3.7999,5.0466,6.2254,7.1881,7.776
2.6988,3.9318,5.2576,6.6041,7.8731,3.3924,4.7292,6.0806,7.3759,8.6417,3.9313,5.256,6.5536,7.8408,8.9909
