0.75657	2.0125	5.8908	0.7776	0.54494	0.24956
2.5615	7.8026	24.005	0.80625	0.55953	0.2514
9.764	31.161	97.256	0.81086	0.56246	0.25132
38.574	124.83	391.7	0.81205	0.5634	0.25092
153.87	499.97	1572.4	0.81239	0.56374	0.25073
0.87388	1.6902	4.0082	0.72758	0.57437	0.33786
3.0161	6.3323	16.1	0.75702	0.59064	0.3414
11.626	24.955	64.821	0.76611	0.59676	0.34185
46.103	99.404	260.08	0.76832	0.59783	0.34162
184	397.44	1043	0.7688	0.59815	0.34152
1.1384	1.5147	2.4058	NaN	0.54483	0.41422
4.0785	5.5321	9.2477	0.62462	0.56604	0.42478
15.828	21.535	36.943	0.6288	0.56984	0.4268
62.916	85.975	148.22	0.63046	0.57103	0.42783
250.91	343.39	592.85	0.63043	0.57197	0.42833
0.84677	1.6471	3.9432	0.7451	0.57476	0.33944
2.856	6.2558	15.788	0.77188	0.60286	0.34291
10.975	24.758	63.398	0.77902	0.61092	0.34384
43.453	98.844	254.11	0.78075	0.61257	0.34428
173.25	395.59	1017.7	0.78136	0.61299	0.34436
0.95824	1.4249	2.9223	0.70135	0.58557	0.40731
3.3862	5.2607	11.451	0.72926	0.60725	0.41466
13.1	20.655	45.555	0.73725	0.61604	0.4167
51.859	82.156	181.96	0.73955	0.61818	0.41749
207.18	328.3	728.23	0.74032	0.61919	0.41724
1.2006	1.4529	1.9802	NaN	0.54696	0.45515
4.3385	5.2713	7.4692	0.59547	0.56658	0.46925
16.797	20.78	29.358	0.60059	0.57265	0.47267
66.347	82.772	116.72	0.60103	0.5741	0.47408
266.99	330.03	466.52	0.60155	0.57401	0.47391
1.137	1.4883	2.4583	0.62538	0.54076	0.40002
4.1934	5.5861	9.4797	0.66153	0.56659	0.41099
16.185	22.07	37.695	0.67156	0.57634	0.41378
64.262	87.917	150.58	0.67347	0.57847	0.41525
256.7	352.01	602.6	0.67419	0.57901	0.41505
1.2146	1.4297	2.0247	0.59276	0.54794	0.44198
4.4192	5.2248	7.6996	0.62949	0.58134	0.4654
17.258	20.655	30.424	0.63532	0.58623	0.4709
68.5	82.548	121.45	0.63755	0.58529	0.47176
273.06	329.84	486.21	0.63805	0.58557	0.47174
1.3733	1.525	1.6706	NaN	0.49154	0.44154
5.0268	5.8299	6.1601	0.51372	0.49589	0.45693
19.561	22.922	24.436	0.52055	0.5042	0.46273
77.801	91.133	96.597	0.52236	0.50729	0.46213
310.97	364.53	385.46	0.52376	0.5072	0.46235
0.89659	0.89306	1.59	0.78331	0.49758	0.2131
3.0925	3.1433	6.072	0.8048	0.53675	0.22101
11.929	12.125	24.147	0.81096	0.5437	0.22491
47.331	48.063	96.326	0.81229	0.54542	0.22587
189.01	192.02	384.94	0.81254	0.54588	0.22638
1.0533	1.0418	1.7822	0.73201	0.54974	0.29566
3.7264	3.7592	6.7704	0.75728	0.58383	0.31531
14.469	14.543	26.612	0.76387	0.59489	0.32111
