39854,34897,42087,55916
47669,40849,51564,51035
32772,30683,40498,41803
26507,29630,25322,21290
41562,44009,43124,26492
9020.5,7828.2,48411,36158
63535,67903,74772,65606
52049,53016,48546,53197
25103,21517,25820,27754
88189,78829,86594,1.0397e+05
59216,48699,53758,65879
50966,42053,61720,68273
30043,22660,26541,39238
53694,41161,42438,57410
62737,67712,83817,75427
65864,57190,69089,72197
61561,68149,45621,46549
52258,46166,54039,59670
48172,53119,57431,56360
47686,46810,84647,76472
1.1869e+05,92652,1.2101e+05,1.5597e+05
24916,22159,33477,30192
96078,67220,85984,1.2657e+05
1.4387e+05,1.1022e+05,1.4441e+05,1.8461e+05
37203,35470,43252,43050
1.4823e+05,1.1294e+05,1.7682e+05,1.9194e+05
65329,77510,45629,56068
60041,48275,59332,77151
51706,43369,55184,68450
62128,54566,61572,81957
76193,63238,67553,85972
29633,26121,33837,33346
23861,21938,25810,33389
36843,34971,37055,47577
32514,28662,34821,41152
9666.4,11851,22345,14890
13175,12370,17132,13953
14473,15117,13208,14907
11987,11376,14527,14625
13301,13744,19438,19302
27857,27513,28937,35801
33683,32465,49139,55850
46120,38572,50060,66406
56677,42889,65322,78550
21077,13657,16034,17773
25162,21765,25036,26868
28536,21836,15983,36526
27553,25733,21908,25039
1.0928e+05,99170,1.1009e+05,1.3029e+05
67102,61433,77209,79288
77586,65241,83442,1.0273e+05
57435,53461,74629,83292
77066,67707,96956,1.0743e+05
2.2943e+05,1.6829e+05,2.1501e+05,1.7176e+05
1.3293e+05,1.3156e+05,1.3492e+05,1.5505e+05
1.0882e+05,1.0845e+05,1.0377e+05,1.3173e+05
28084,32847,29374,28585
35616,26624,53571,53389
36972,36296,43917,49469
38679,34703,44822,61272
48794,42624,52317,78789
41158,34510,41813,51489
54482,41405,48961,67508
24039,20688,39740,39355
38494,29020,47402,61583
16542,16857,18251,17470
75477,55053,49504,57612
29446,25941,26237,29023
28383,44266,32143,21965
36117,30197,47434,44001
67082,53999,71022,79592
30402,34300,47679,47909
