39854,42046,31242
47669,47389,34533
32772,29769,29879
26507,25101,63859
41562,26297,88974
9020.5,7182.5,8824.9
63535,66533,84737
52049,80970,77905
25103,26228,21766
88189,1.0443e+05,1.1094e+05
59216,59635,56571
50966,98501,1.0198e+05
30043,27140,24306
53694,57808,49387
62737,81986,54346
65864,69195,66799
61561,79545,76767
52258,58582,60155
48172,53670,40244
47686,80481,1.201e+05
1.1869e+05,1.5805e+05,1.4989e+05
24916,30736,25309
96078,89086,1.2017e+05
1.4387e+05,1.963e+05,1.3082e+05
37203,37779,38231
1.4823e+05,1.4831e+05,1.8106e+05
65329,85311,83667
60041,84597,76077
51706,38789,62658
62128,64676,67280
76193,85293,69253
29633,33154,34833
23861,25951,33191
36843,40566,67711
32514,34835,68424
9666.4,8424,5576.6
13175,14014,13581
14473,13935,16626
11987,14644,13550
13301,15525,10249
27857,32666,35458
33683,49658,30151
46120,50950,50028
56677,53139,50014
21077,55837,60659
25162,22583,22199
28536,37105,44033
27553,20454,8778.9
1.0928e+05,1.2553e+05,1.2925e+05
67102,69367,79783
77586,87795,71066
57435,78280,60771
77066,86543,96525
2.2943e+05,2.0316e+05,87105
1.3293e+05,1.8868e+05,81528
1.0882e+05,1.4118e+05,1.6864e+05
28084,36353,13542
35616,86071,1.2147e+05
36972,44150,55672
38679,40949,44373
48794,58011,1.0735e+05
41158,67673,84716
54482,67194,82974
24039,49984,62488
38494,51287,98425
16542,17017,17321
75477,43263,21263
29446,26201,19607
28383,24437,45587
36117,20438,5486.4
67082,65836,58457
30402,64730,70732
