39854,20416,1.1067e+05
47669,25384,99932
32772,18576,83816
26507,2390.4,91126
41562,4760.5,97156
9020.5,3532.4,26721
63535,42900,1.7759e+05
52049,44156,1.0608e+05
25103,13602,1.2908e+05
88189,1.0542e+05,1.3456e+05
59216,57769,1.3806e+05
50966,62224,1.1324e+05
30043,39075,1.129e+05
53694,42631,1.1048e+05
62737,43551,1.0275e+05
65864,46636,1.1245e+05
61561,53288,1.0925e+05
52258,63786,1.0595e+05
48172,65387,76789
47686,36506,61673
1.1869e+05,80367,1.8002e+05
24916,969.71,57248
96078,49063,85117
1.4387e+05,1.2396e+05,1.869e+05
37203,1634.3,1.2108e+05
1.4823e+05,1.0914e+05,2.1448e+05
65329,1495,1.1747e+05
60041,76449,98726
51706,90848,74105
62128,64324,1.0118e+05
76193,87664,1.0967e+05
29633,23778,65320
23861,24555,56830
36843,30862,77128
32514,46955,1.1543e+05
9666.4,9730.1,1.266e+05
13175,9868.1,1.0944e+05
14473,12956,71748
11987,15277,65917
13301,14269,1.1206e+05
27857,13443,51491
33683,34248,1.8109e+05
46120,38301,1.7102e+05
56677,40395,1.6519e+05
21077,339.87,87063
25162,15220,98724
28536,78.099,55724
27553,15314,86547
1.0928e+05,1.3094e+05,1.3824e+05
67102,80217,1.3052e+05
77586,94294,1.5783e+05
57435,71480,99031
77066,78540,1.5133e+05
2.2943e+05,1.2866e+05,3.4472e+05
1.3293e+05,1.3234e+05,2.9752e+05
1.0882e+05,1.2175e+05,3.236e+05
28084,2608.5,99898
35616,251.34,35616
36972,20590,1.3113e+05
38679,24780,1.2921e+05
48794,32651,1.0253e+05
41158,39704,1.8625e+05
54482,29263,1.0827e+05
24039,35326,94371
38494,30519,1.8979e+05
16542,8054.7,61318
75477,40531,1.5411e+05
29446,9028,64078
28383,9195.3,1.4613e+05
36117,18702,80856
67082,39954,1.0689e+05
30402,74107,1.8155e+05
