87.977,60.198,188.68
92.589,62.974,163.33
79.572,57.597,158.74
82.802,24.396,182.69
120.87,40.516,204.47
47.532,29.679,88.287
127.29,104.25,278.45
118.22,109.3,198.1
89.816,64.322,219.73
151.28,165.53,214.31
122.02,120.54,233.56
110.7,122.95,217.4
102.64,117.23,220.39
145.1,128.91,225.83
103,85.111,170.55
112.61,94.122,187.75
115.67,107.66,190.62
85.493,94.687,213.33
78.431,91.64,156.92
89.239,78.165,153.66
280.14,230.22,345.78
87.52,17.169,154.97
89.685,64.09,121.31
254.29,236.47,291.19
126.71,25.956,233.84
299.21,254.59,363.38
159.52,23.274,214.54
136.78,154.55,177
98.605,130.83,126.94
138.33,140.84,178.93
164.1,176.02,209.05
89.663,80.016,141.55
84.249,85.443,141.5
98.707,89.909,151.62
97.278,118.15,191.7
29.686,29.791,224.39
55.606,48.102,191.65
55.549,52.895,161.78
60.489,68.398,155.42
55.153,56.275,217.51
79.998,55.136,130.15
64.429,65.081,193.45
86.574,78.906,208.19
95.847,80.954,195.46
81.4,10.328,176.92
77.229,59.806,184.33
105.31,5.4289,145.07
77.998,57.805,165.36
162.52,178.01,204.26
108.97,119.42,179.6
117.31,129.48,214
98.603,110.06,167.72
125.65,126.7,224.66
206.61,154.51,293.78
168.36,167.91,290.89
152.42,161.48,350.16
81.283,22.158,189.93
78.625,6.6385,78.625
110.21,81.877,227.45
114.34,91.713,218.2
125.3,102.48,206.5
110.95,109.12,263.17
121.84,89.217,210.67
82.615,100.23,186.68
103.19,91.863,270.97
64.357,45.038,133.17
141.48,104.02,248.88
79.924,42.793,134.14
90.206,51.64,229.52
87.789,62.316,170.96
147.18,113.23,209.55
91.292,146.95,256.67
