2.0784,1.9053,2.4358
2.075,1.8928,2.3085
2.1592,2.0074,2.5143
2.3873,1.8424,2.7832
2.3609,1.8786,2.6296
2.0568,1.8486,2.3705
2.264,2.1806,2.7001
2.297,2.2609,2.638
2.0357,1.8871,2.3453
1.9398,1.9781,2.1427
2.0076,2.0004,2.3864
1.8827,1.9271,2.3567
2.0194,2.0769,2.2375
2.0671,2.0134,2.23
2.0345,1.9505,2.3228
2.0781,2.0001,2.3689
2.0391,2.01,2.3203
1.9899,2.0329,2.4856
1.9838,2.0536,2.3283
1.8426,1.7866,2.2402
2.1961,2.108,2.3591
2.2639,1.543,2.4684
1.75,1.623,2.1091
1.9944,1.9594,2.1416
2.2403,1.553,2.5391
2.0386,1.9575,2.1716
2.4383,1.593,2.5574
2.0149,2.0692,2.1632
1.9085,2.0327,2.0751
1.9778,1.9842,2.1385
2.1019,2.1353,2.2727
2.0286,1.9781,2.2248
2.0198,2.0265,2.2112
2.149,2.1081,2.313
2.1023,2.1889,2.3971
1.7417,1.7436,2.432
1.8129,1.7519,2.31
1.7976,1.7808,2.2495
1.7075,1.7596,2.1479
1.6224,1.628,2.0629
2.0524,1.8914,2.2888
1.8471,1.8532,2.3089
1.8982,1.8613,2.2668
1.9169,1.8449,2.239
2.5468,1.6144,2.9529
2.1339,2.0233,2.5597
2.8302,1.4887,3.004
2.1797,2.0462,2.5405
1.9503,1.9908,2.2006
1.9694,2.008,2.2242
1.9429,1.9873,2.3841
1.9981,2.0401,2.4246
2.0602,2.0642,2.4916
2.1088,1.9967,2.2736
2.0111,2.0136,2.2247
1.9942,2.0121,2.3348
2.4686,1.8803,2.8468
2.6402,1.5638,2.6402
1.8763,1.7512,2.23
1.8008,1.7054,2.0573
1.9048,1.8157,2.1962
1.8434,1.8386,2.2679
1.908,1.7801,2.2469
1.7073,1.7921,2.1648
2.0263,1.9752,2.424
2.2255,2.0665,2.485
2.4369,2.2989,2.7604
2.3446,2.0533,2.545
2.37,2.1198,2.7672
2.369,2.2107,2.5768
2.5343,2.4133,2.7061
2.1242,2.3433,2.6485
