0.73075,0.71115,0.74669,0.77369
0.73671,0.71591,0.76033,0.7869
0.68099,0.66671,0.72735,0.74429
0.6563,0.64329,0.7033,0.71422
0.72391,0.69624,0.70963,0.74908
0.61854,0.58379,0.72878,0.74438
0.75629,0.75669,0.78733,0.78421
0.71768,0.71175,0.75347,0.76263
0.77495,0.75351,0.7868,0.81363
0.83578,0.8249,0.84409,0.85848
0.83192,0.8214,0.83947,0.85624
0.85388,0.84137,0.86281,0.87858
0.81787,0.79907,0.82137,0.84854
0.84459,0.82845,0.84265,0.86687
0.75586,0.74025,0.78479,0.80578
0.76986,0.75536,0.79595,0.81862
0.79463,0.78046,0.82076,0.83911
0.71451,0.70221,0.72438,0.74323
0.70622,0.6986,0.72415,0.73605
0.77423,0.7577,0.80206,0.82138
0.85883,0.85172,0.85782,0.86823
0.70138,0.68179,0.70772,0.74446
0.78363,0.76645,0.79326,0.81709
0.87133,0.86288,0.86872,0.87971
0.77774,0.75876,0.77978,0.80007
0.90284,0.89519,0.90218,0.91049
0.75096,0.7397,0.74801,0.76645
0.82217,0.80977,0.8326,0.84725
0.78755,0.76989,0.79458,0.8202
0.83559,0.82178,0.84971,0.86692
0.81545,0.80301,0.8207,0.8362
0.79592,0.78048,0.79344,0.81861
0.78745,0.77043,0.78746,0.81016
0.74795,0.7365,0.7577,0.7784
0.76267,0.75094,0.77524,0.7915
0.61462,0.59288,0.67078,0.69936
0.77834,0.76054,0.79337,0.81413
0.78665,0.76873,0.79652,0.82022
0.8397,0.82186,0.84546,0.8673
0.848,0.83148,0.85333,0.87603
0.73334,0.71304,0.76041,0.78389
0.71605,0.69984,0.71893,0.74193
0.77241,0.7578,0.77931,0.79769
0.77724,0.76473,0.78238,0.80221
0.57611,0.52172,0.52674,0.61196
0.71504,0.71118,0.74893,0.769
0.64639,0.60268,0.5431,0.62618
0.68772,0.67475,0.69461,0.72182
0.81888,0.81023,0.83307,0.84351
0.76412,0.74983,0.78747,0.80726
0.75564,0.74292,0.77404,0.79332
0.72228,0.7093,0.74988,0.76894
0.75437,0.7425,0.77214,0.78939
0.78825,0.77504,0.79462,0.81061
0.80109,0.7882,0.80143,0.81675
0.8002,0.78941,0.80294,0.82233
0.65257,0.62515,0.62355,0.65155
0.86823,0.84694,0.82901,0.79185
0.86521,0.85133,0.86905,0.88495
0.88403,0.87446,0.89184,0.90444
0.85987,0.8447,0.86534,0.88287
0.85583,0.84289,0.86086,0.87593
0.84966,0.83463,0.85669,0.87319
0.86567,0.85446,0.87367,0.88695
0.78684,0.77537,0.79723,0.814
0.59119,0.57078,0.64809,0.67002
0.78683,0.75355,0.77157,0.81114
0.57391,0.55666,0.64318,0.66531
0.7184,0.73596,0.76483,0.76047
0.59191,0.57834,0.65013,0.67184
0.8094,0.77793,0.80405,0.83615
0.73363,0.7226,0.78538,0.80533
