2.6958,2.7806,2.5621,2.4689
2.6705,2.7092,2.5561,2.2005
2.924,2.9889,2.6367,2.4602
3.7833,4.0221,3.6729,3.3704
3.7222,4.0325,3.8718,3.0536
2.632,2.6804,2.7644,2.6205
3.2815,3.3074,3.0944,2.9051
3.4258,3.6587,3.2387,2.9724
2.587,2.6385,2.456,2.2828
2.292,2.3915,2.2964,2.1219
2.4341,2.4166,2.3335,2.2849
2.1311,2.1547,2.1798,2.0615
2.4656,2.4196,2.338,2.3479
2.6107,2.597,2.4605,2.394
2.5383,2.7751,2.5699,2.247
2.6568,2.6997,2.4883,2.2641
2.55,2.7753,2.2204,2.0233
2.39,2.4679,2.4943,2.3179
2.3862,2.5597,2.4995,2.2818
2.0514,2.2477,2.1674,1.8651
3.0104,2.9534,3.0318,3.041
3.3441,3.4207,3.5491,3.2143
1.8275,1.7881,1.77,1.7644
2.3697,2.342,2.4469,2.4393
3.2984,3.4235,3.4147,3.2031
2.4834,2.4378,2.5999,2.5012
4.0805,4.4085,3.7378,3.749
2.5079,2.5105,2.4932,2.4373
2.2021,2.2558,2.3345,2.2119
2.4366,2.52,2.411,2.3228
2.7673,2.7951,2.8109,2.7367
2.4544,2.4803,2.5934,2.3909
2.4512,2.5026,2.4967,2.5098
2.8452,2.901,2.8293,2.8287
2.7131,2.7251,2.7379,2.704
1.8345,2.063,2.0551,1.6876
1.9858,2.0781,2.0493,1.809
1.9469,2.0963,1.8748,1.7715
1.7462,1.843,1.7956,1.6468
1.5574,1.6857,1.7155,1.5459
2.6034,2.7533,2.4178,2.3418
2.0376,2.1275,2.2623,2.1314
2.1626,2.1881,2.2017,2.1466
2.2238,2.1968,2.2952,2.1813
4.6708,4.4707,4.6009,4.1855
2.8203,2.7649,2.4842,2.3583
6.3061,5.927,5.4371,6.6992
2.9622,3.0313,2.6152,2.4195
2.2856,2.3397,2.3154,2.2023
2.3524,2.4377,2.4365,2.2169
2.2834,2.3366,2.3639,2.2167
2.4235,2.5375,2.5841,2.3841
2.5901,2.6666,2.7246,2.5081
2.7674,2.702,2.7887,2.4441
2.4517,2.6028,2.5318,2.4075
2.4058,2.5337,2.3711,2.2804
4.0638,4.4631,4.1657,3.8805
5.4079,6.1579,6.3487,4.8882
2.1324,2.2648,2.1794,2.0594
1.9722,2.0354,1.9706,1.9541
2.2271,2.3197,2.2151,2.2035
2.0295,2.082,2.0455,1.9744
2.2123,2.2144,2.1128,2.0841
1.7436,1.7798,1.9067,1.7424
2.521,2.4421,2.6099,2.5847
3.171,3.3366,2.8095,2.6417
3.9292,3.8538,3.6685,3.3841
3.6236,3.6211,2.8948,2.7997
3.818,4.304,3.52,3.0902
3.7172,3.708,3.4464,2.9883
4.3914,4.3492,4.263,4.0123
2.8258,3.0483,2.8798,2.6108
