25.869,14.321,10.336
26.868,15.718,13.238
24.684,8.2044,10.351
37.789,19.705,10.639
38.149,11.87,13.363
23.569,12.182,9.5617
21.845,13.387,14.288
22.891,15.631,10.913
27.705,12.955,12.123
23.734,10.672,11.173
23.669,11.161,11.288
21.715,11.959,12.726
25.105,10.515,9.0585
27.294,10.79,11.239
22.781,10.312,10.202
22.627,10.487,8.3662
22.404,9.8178,9.2857
19.729,12.569,9.498
19.525,12.383,9.9242
22.468,13.304,10.947
29.917,14.614,11.881
39.88,31.082,15.453
14.055,13.938,9.5966
21.989,12.847,13.948
31.697,23.096,11.608
29.102,12.148,12.064
32.558,14.293,15.813
23.411,9.9282,9.1381
18.202,6.8337,6.6129
23.957,11.32,9.7207
24.246,10.395,9.7709
25.439,9.313,10.705
25.094,10.503,11.845
24.864,10.458,9.5101
21.357,11.917,9.9573
18.635,15.262,8.6163
24.215,18.41,12.145
24.888,14.812,12.844
25.328,12.658,10.232
23.944,16.257,11.285
25.13,12.519,9.1822
20.735,11.756,11.13
21.376,12.596,9.8554
20.167,10.707,9.9324
33.011,21.574,11.075
27.556,13.079,12.728
33.161,16.778,15.053
25.49,13.865,13.037
22.578,11.239,10.44
21.471,11.265,10.503
20.553,11.7,9.2571
20.244,11.06,12.152
21.165,14.669,11.082
19.585,11.612,11.041
22.872,12.967,15.689
23.047,12.834,15.734
36.203,21.259,12.814
22.421,32.651,17.645
26.564,14.928,9.1729
31.384,11.057,9.6576
28.593,11.231,12.623
22.924,11.872,11.617
24.768,15.339,14.941
27.392,12.266,11.945
22.578,11.18,12.319
22.472,11.667,10.129
22.858,13.317,16.425
25.235,10.103,11.192
24.95,10.007,17.825
22.962,11.007,11.597
27.621,19.046,17.916
16.878,9.3795,11.033
