1.25,1.625,1.7222,1.5263,1.381,1.381,1.5263,1.3182,1.3636,1.2083,1.25,1.25,1.1667,1.1667,1.0769,1.037
1.25,1.625,1.6316,1.381,1.381,1.381,1.381,1.3636,1.2083,1.25,1.25,1.3043,1.1667,1.037,1,1
1.25,1.625,1.6316,1.4286,1.381,1.3182,1.3182,1.3043,1.25,1.25,1.3043,1.3043,1.037,0.96552,0.96552,0.96552
1.3125,1.6875,1.6316,1.4762,1.381,1.3636,1.3636,1.25,1.25,1.25,1.3043,1.25,0.96552,0.96552,0.96552,0.96552
1.25,1.75,1.6316,1.4762,1.3636,1.3636,1.3478,1.25,1.25,1.25,1.25,1.0345,0.96552,0.96552,0.96552,1.12
1.3125,1.8125,1.4762,1.4762,1.4091,1.2917,1.25,1.25,1.25,1.2,1.0345,1,0.96552,1.037,1.037,1.2174
1.3125,1.8125,1.4762,1.4091,1.3478,1.25,1.25,1.2,1.25,1.0345,1.0345,1.0345,1.037,1.1667,1.1667,1.5556
1.375,1.875,1.4762,1.4091,1.2917,1.25,1.25,1.2,1.0345,1.0345,1.0345,1.1111,1.2174,1.4,1.4737,1.75
1.375,1.9375,1.4762,1.4091,1.25,1.25,1.2,1.0345,1,1.0345,1.1154,1.2609,1.4737,1.6471,1.75,1.75
1.375,1.9375,1.4091,1.2917,1.25,1.1111,1.0345,1,1.0714,1.2083,1.3182,1.4737,1.75,1.75,1.75,1.6875
1.375,1.7222,1.4091,1.25,1.1111,1,1,1.1111,1.3043,1.4,1.75,1.75,1.75,1.6875,1.6875,1.6875
1.5,1.55,1.25,1.1538,1,0.96774,1.2,1.5,1.6471,1.75,1.75,1.75,1.6875,1.6875,1.6875,1.6875
1.8125,1.4091,1.25,1,0.9375,1,1.6667,1.75,1.75,1.75,1.75,1.75,1.6875,1.6875,1.6875,1.625
2,1.2917,1,0.9375,1,1,1.75,1.75,1.75,1.75,1.6875,1.6875,1.6875,1.625,1.625,1.625
1.7778,1,0.875,0.90323,1.037,1.3333,1.6875,1.6875,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625
1.0333,0.83871,0.78125,0.80645,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
