8,2.0654
16,2.061
24,1.9667
32,1.891
40,1.8271
48,1.7738
56,1.7306
64,1.6917
72,1.66
80,1.63
88,1.6039
96,1.5812
104,1.5611
112,1.5423
120,1.5258
128,1.5094
